"Sample_ID","class","order","family","genus","species","tot"
"COI.0321.2Brn.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","",24
"COI.0321.2Brn.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","Aporrectodea caliginosa",31
"COI.0321.2Brn.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",72
"COI.0321.2Brn.Dn.3","Clitellata","Haplotaxida","Lumbricidae","Octolasion","Octolasion cyaneum",6
"COI.0321.2Brn.Dn.3","Clitellata","Haplotaxida","Naididae","Rhyacodrilus","",11
"COI.0321.2Brn.Dn.3","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","",5
"COI.0321.2Brn.Dn.3","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","",22
"COI.0321.2Brn.Dn.3","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",18
"COI.0321.2Brn.Dn.3","Insecta","Diptera","Sciaridae","Ctenosciara","Ctenosciara hyalipennis",10
"COI.0321.2Brn.Dn.3","Insecta","Diptera","Trichoceridae","Paracladura","Paracladura trichoptera",7
"COI.0321.2Brn.Dn.3","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia goedartella",21
"COI.0321.2Brn.Dn.3","Insecta","Lepidoptera","Gelechiidae","Chionodes","",5
"COI.0321.2Brn.Dn.3","Insecta","Lepidoptera","Tortricidae","Epinotia","",16
"COI.0321.2Brn.Dn.3","Insecta","Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps",117
"COI.0321.2Brn.Dn.3","Insecta","Trichoptera","Brachycentridae","Micrasema","",3
"COI.0321.2Brn.Dn.3","Insecta","Trichoptera","Hydropsychidae","Parapsyche","Parapsyche almota",16
"COI.0321.2Brn.Dn.3","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma cascadense",29
"COI.0321.2Brn.Dn.3","Insecta","Trichoptera","Limnephilidae","Limnephilus","",12
